文件名,完整路径,软缺数,硬缺数,否决数
PU-2304 msds_CN 冠志.docx,F:\冠志工作空间\产品\TDS MSDS\TDS MSDS\产品 TDS MSDS -- WORD版本 - 副本\1-1 单组份水性聚氨酯树脂 PU\PU-2304 msds_CN 冠志.docx,8,0,0
PU-2306 msds_CN 冠志.docx,F:\冠志工作空间\产品\TDS MSDS\TDS MSDS\产品 TDS MSDS -- WORD版本 - 副本\1-1 单组份水性聚氨酯树脂 PU\PU-2306 msds_CN 冠志.docx,8,0,0
PU-7205 msds_CN 冠志.docx,F:\冠志工作空间\产品\TDS MSDS\TDS MSDS\产品 TDS MSDS -- WORD版本 - 副本\1-1 单组份水性聚氨酯树脂 PU\PU-7205 msds_CN 冠志.docx,8,0,0
PU-7206 msds_CN 冠志.docx,F:\冠志工作空间\产品\TDS MSDS\TDS MSDS\产品 TDS MSDS -- WORD版本 - 副本\1-1 单组份水性聚氨酯树脂 PU\PU-7206 msds_CN 冠志.docx,8,0,0
PU-7206 msds_CN 国彩.docx,F:\冠志工作空间\产品\TDS MSDS\TDS MSDS\产品 TDS MSDS -- WORD版本 - 副本\1-1 单组份水性聚氨酯树脂 PU\PU-7206 msds_CN 国彩.docx,8,0,0
PUA-7216 msds_CN 冠志.docx,F:\冠志工作空间\产品\TDS MSDS\TDS MSDS\产品 TDS MSDS -- WORD版本 - 副本\3 水性聚氨酯改性丙烯酸树脂 PUA\PUA-7216 msds_CN 冠志.docx,8,0,0
